Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,56.71920247266385,67.79934045338337,4.923660468467284,4.125000000000001e-2,1.8280740032680098e-3,"cx0_1: 8.348e-2, cx0_5: 8.180e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q1,49.29836104274239,48.77836310133596,5.077463136455255,2.1500000000000008e-1,7.544440583199252e-4,"cx1_0: 8.348e-2, cx1_2: 2.797e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q2,52.70491627077042,66.51596483804492,4.99908399569535,1.1937500000000001e-1,2.3211392368657213e-3,"cx2_1: 2.797e-2, cx2_3: 6.816e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q3,39.16675214089696,78.86253384081716,5.044907579191407,1.0250000000000004e-1,4.547093860666818e-3,"cx3_2: 6.816e-2, cx3_4: 1.000e+0",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q4,48.23135771175534,56.49418335718376,4.9354477975769635,3.874999999999995e-2,1.0555330766255921e-3,"cx4_3: 1.000e+0, cx4_6: 4.166e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q5,60.837131086072475,81.42512516598238,5.046912322283288,2.8437500000000004e-1,1.4371154843912382e-3,"cx5_0: 8.180e-2, cx5_9: 4.848e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q6,66.86236982213028,59.880860849985986,5.047784130533645,7.562500000000005e-2,1.5719782940658011e-3,"cx6_4: 4.166e-2, cx6_13: 1.947e-1",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q7,54.032208187954296,41.82127756127058,4.933803342996834,2.85625e-1,2.0671586374057527e-3,"cx7_8: 4.114e-2, cx7_16: 3.651e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q8,59.57753173907504,49.41517718446107,5.0314548579376535,1.09375e-1,2.3257743499328076e-3,"cx8_7: 4.114e-2, cx8_9: 3.607e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q9,68.08415358672656,93.87748814477975,4.974177907925343,8.3125e-2,1.0116192704571758e-3,"cx9_5: 4.848e-2, cx9_8: 3.607e-2, cx9_10: 1.000e+0",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q10,55.37760323065763,75.82988157598679,5.0640292990524625,8.3125e-2,8.077235183730491e-4,"cx10_9: 1.000e+0, cx10_11: 3.061e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q11,58.586483559096365,47.86587748003529,4.927012086482638,8.875e-2,1.2917905502365934e-3,"cx11_10: 3.061e-2, cx11_12: 4.276e-2, cx11_17: 2.770e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q12,51.94282923955285,84.92274348413628,5.047544022115246,1.0250000000000004e-1,2.9041046533284653e-3,"cx12_11: 4.276e-2, cx12_13: 3.076e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q13,58.64582065135147,79.77860113180566,4.949475691782181,3.5562499999999997e-1,9.134224727423979e-4,"cx13_6: 1.947e-1, cx13_12: 3.076e-2, cx13_14: 4.041e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q14,47.94086630804515,61.67304362171666,5.067656966444862,9.250000000000003e-2,9.161515488368965e-4,"cx14_13: 4.041e-2, cx14_15: 3.587e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q15,44.55647327007599,24.83218547886132,4.8747586878508145,6.25e-2,9.178796009343682e-4,"cx15_14: 3.587e-2, cx15_18: 3.524e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q16,45.6353770816992,54.624514636024166,5.076354901763959,3.631249999999999e-1,1.134220753364501e-3,"cx16_7: 3.651e-2, cx16_19: 2.457e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q17,50.66671106011385,29.05813615217545,4.987306606699609,4.6875e-2,1.2823153530004405e-3,"cx17_11: 2.770e-2, cx17_23: 4.656e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q18,46.89868598218872,53.511773039376685,5.062691516860523,2.8124999999999956e-2,8.333699104712822e-4,"cx18_15: 3.524e-2, cx18_27: 4.776e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q19,58.853582539709684,47.56982237864985,5.019726285234617,8.624999999999994e-2,7.817778985272361e-4,"cx19_16: 2.457e-2, cx19_20: 2.738e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q20,68.62138229383518,102.64424085050972,4.88704471894073,2.0000000000000018e-2,5.007231626371067e-4,"cx20_19: 2.738e-2, cx20_21: 1.000e+0",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q21,63.934350272522224,40.960765827209,5.1445748052969265,7.750000000000001e-2,5.967267763906159e-3,"cx21_20: 1.000e+0, cx21_22: 6.175e-2, cx21_28: 3.877e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q22,62.48407075844693,56.828796869359614,4.903291411073716,6.75e-2,1.001428695037998e-3,"cx22_21: 6.175e-2, cx22_23: 4.304e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q23,54.11715693772178,52.083580913524045,4.9563180462437515,3.1437500000000007e-1,1.533327455705391e-3,"cx23_17: 4.656e-2, cx23_22: 4.304e-2, cx23_24: 3.295e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q24,39.64954452452434,47.968054177848806,4.882353469293808,3.312500000000007e-2,1.9286454273687026e-3,"cx24_23: 3.295e-2, cx24_25: 5.848e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q25,59.80405538149634,58.28756801260145,4.973675332185845,1.6625e-1,8.427107400568734e-4,"cx25_24: 5.848e-2, cx25_26: 3.695e-2, cx25_29: 7.372e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q26,47.99080717334426,59.62879016400356,5.024167493942115,8.062499999999995e-2,9.854616835314745e-4,"cx26_25: 3.695e-2, cx26_27: 5.231e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q27,44.51706815205595,54.01202263032117,4.985053786019552,9.624999999999995e-2,2.146177520990944e-3,"cx27_18: 4.776e-2, cx27_26: 5.231e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q28,54.13906317607391,63.001302275029246,5.0166052902075515,1.5437499999999993e-1,9.158243560176693e-4,"cx28_21: 3.877e-2, cx28_32: 8.247e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q29,59.73278115476249,14.313933652409045,4.999535239208802,4.062499999999991e-2,1.9572677801561467e-3,"cx29_25: 7.372e-2, cx29_36: 1.019e-1",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q30,52.220073346429466,68.46889680286327,5.114277097375622,2.9625e-1,4.140171275079152e-3,"cx30_31: 3.245e-2, cx30_39: 4.915e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q31,51.58818445909915,83.59783379043746,4.963938557180804,1.6562500000000002e-1,6.819114964054518e-4,"cx31_30: 3.245e-2, cx31_32: 4.222e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q32,52.44198329108079,73.54001150832941,5.154787990234839,1.2687500000000007e-1,3.0660990761911533e-3,"cx32_28: 8.247e-2, cx32_31: 4.222e-2, cx32_33: 3.884e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q33,37.89727034162387,66.39378459574122,5.210711889410646,2.562500000000001e-2,8.467695999158642e-4,"cx33_32: 3.884e-2, cx33_34: 5.673e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q34,49.230540086620636,27.639579830770394,4.969362351040647,7.687500000000003e-2,1.501064494814186e-3,"cx34_33: 5.673e-2, cx34_35: 3.552e-2, cx34_40: 3.589e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q35,77.49596085461421,23.419272221571386,5.0461442043096625,2.7312500000000006e-1,3.0549143967432135e-3,"cx35_34: 3.552e-2, cx35_36: 6.130e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
